                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83626,                  9.062,                0.86014,                0.59956,                0.20234,                 0.1265,                 0.1071,                0.66592,                 3.0009,                0.82128,             6.9754e-05,             6.9754e-05,             6.9754e-05
                      2,                0.68713,                 4.1045,                0.82968,                0.53248,                0.29291,                0.26943,                0.22476,                0.67008,                 1.8869,                0.82978,             0.00013936,             0.00013936,             0.00013936
                      3,                0.71569,                 3.1127,                0.84262,                0.61842,                0.29657,                0.33476,                0.27891,                0.71559,                 1.5993,                0.84399,             0.00020756,             0.00020756,             0.00020756
                      4,                0.67964,                 2.3876,                0.84783,                0.56256,                0.43339,                 0.4136,                0.34959,                0.61291,                 1.3878,                0.82987,             0.00020667,             0.00020667,             0.00020667
                      5,                0.68864,                 2.0673,                0.84028,                0.59649,                0.44779,                0.47113,                0.39427,                0.63947,                 1.3484,                0.83128,             0.00020667,             0.00020667,             0.00020667
                      6,                0.66369,                 1.8082,                0.82772,                0.59436,                0.51876,                0.55173,                0.46466,                0.61393,                 1.1479,                0.82477,             0.00020457,             0.00020457,             0.00020457
                      7,                0.64618,                 1.6782,                0.83205,                0.72583,                0.45949,                0.56274,                0.46881,                0.65609,                 1.1349,                0.83434,             0.00020246,             0.00020246,             0.00020246
                      8,                0.61846,                 1.4582,                0.82363,                0.62149,                0.50741,                0.59581,                0.48725,                0.67027,                 1.1143,                0.83003,             0.00020035,             0.00020035,             0.00020035
                      9,                0.60772,                 1.3209,                0.82456,                0.78298,                0.50088,                0.64129,                0.53613,                0.57997,                 1.0093,                0.81786,             0.00019824,             0.00019824,             0.00019824
                     10,                0.59413,                 1.2546,                0.82221,                0.74898,                0.59038,                 0.7225,                0.61539,                0.57985,                0.86161,                0.81638,             0.00019613,             0.00019613,             0.00019613
                     11,                0.60157,                 1.1586,                0.81899,                0.83045,                0.54397,                0.76386,                0.65922,                 0.5382,                0.82956,                0.81553,             0.00019402,             0.00019402,             0.00019402
                     12,                0.58475,                 1.0959,                0.82535,                0.75922,                0.61627,                0.78573,                0.68033,                 0.5504,                0.72249,                0.81613,             0.00019191,             0.00019191,             0.00019191
                     13,                0.57149,                0.96009,                0.82157,                0.79581,                0.70824,                0.84305,                0.71872,                0.59468,                0.66108,                0.82097,              0.0001898,              0.0001898,              0.0001898
                     14,                0.57817,                0.95282,                0.82398,                0.76055,                0.75496,                0.83168,                0.72124,                0.54235,                0.68417,                0.81364,              0.0001877,              0.0001877,              0.0001877
                     15,                 0.5695,                0.89916,                0.82255,                0.80947,                0.72379,                0.82895,                0.70214,                0.57515,                0.73946,                0.81955,             0.00018559,             0.00018559,             0.00018559
                     16,                0.55587,                0.79668,                0.82011,                0.79594,                0.85702,                0.90678,                 0.7721,                0.56104,                0.55571,                0.81549,             0.00018348,             0.00018348,             0.00018348
                     17,                0.53037,                0.85651,                0.79749,                0.85843,                0.81126,                0.91002,                0.77667,                0.58231,                0.55604,                0.81812,             0.00018137,             0.00018137,             0.00018137
                     18,                0.53274,                0.71322,                0.80811,                0.87838,                0.77541,                0.89174,                0.77802,                0.50406,                0.49599,                0.80744,             0.00017926,             0.00017926,             0.00017926
                     19,                0.52817,                0.66834,                 0.8081,                0.85215,                0.84709,                0.91822,                0.78901,                0.56485,                0.50169,                 0.8129,             0.00017715,             0.00017715,             0.00017715
                     20,                0.52758,                0.64087,                0.81586,                0.89737,                0.81774,                0.92382,                0.79907,                 0.5117,                0.46187,                0.80615,             0.00017504,             0.00017504,             0.00017504
                     21,                 0.5205,                0.62815,                0.81122,                0.89564,                0.84294,                0.93198,                0.80656,                0.53162,                0.46696,                0.80932,             0.00017293,             0.00017293,             0.00017293
                     22,                0.52655,                0.63266,                0.80429,                0.91134,                0.88203,                0.93897,                0.82093,                0.49608,                0.45123,                 0.8038,             0.00017083,             0.00017083,             0.00017083
                     23,                0.51623,                0.58489,                0.80989,                0.90978,                0.89425,                0.94284,                0.80414,                0.53746,                0.39166,                0.80973,             0.00016872,             0.00016872,             0.00016872
                     24,                0.51915,                 0.5385,                0.80877,                  0.926,                0.83965,                0.94471,                0.83391,                0.50823,                0.40141,                0.80675,             0.00016661,             0.00016661,             0.00016661
                     25,                0.51649,                0.54028,                0.80702,                0.89483,                0.89102,                0.94729,                0.82382,                0.53497,                0.42365,                0.80905,              0.0001645,              0.0001645,              0.0001645
                     26,                0.48358,                0.55724,                0.79896,                0.93148,                0.89044,                0.96217,                0.82978,                0.51779,                0.39411,                0.80571,             0.00016239,             0.00016239,             0.00016239
                     27,                0.49906,                0.57323,                0.80532,                0.93738,                0.90445,                0.96718,                0.85637,                 0.4785,                0.37231,                0.80056,             0.00016028,             0.00016028,             0.00016028
                     28,                0.48385,                  0.501,                 0.8007,                0.93224,                0.90121,                0.96085,                0.83828,                0.50657,                0.39244,                0.80414,             0.00015817,             0.00015817,             0.00015817
                     29,                  0.469,                0.47577,                0.79946,                0.94285,                0.92031,                0.97691,                0.86863,                0.45709,                0.34662,                0.80149,             0.00015607,             0.00015607,             0.00015607
                     30,                0.48612,                0.47311,                0.80499,                0.92135,                0.96923,                0.99082,                0.85747,                0.52726,                0.36949,                0.80857,             0.00015396,             0.00015396,             0.00015396
                     31,                0.47222,                0.45083,                0.79695,                0.95074,                0.91236,                0.98455,                0.87566,                0.45916,                0.33208,                0.79901,             0.00015185,             0.00015185,             0.00015185
                     32,                0.46157,                0.43132,                0.79198,                0.95042,                0.92717,                0.98726,                0.86395,                0.48563,                0.33406,                0.80355,             0.00014974,             0.00014974,             0.00014974
                     33,                0.46841,                  0.422,                 0.8045,                0.92937,                0.96802,                0.99037,                0.87256,                0.47159,                0.31656,                0.79941,             0.00014763,             0.00014763,             0.00014763
                     34,                0.46987,                0.41703,                 0.8024,                0.96323,                0.94239,                0.99443,                0.85142,                0.51722,                0.33985,                0.80929,             0.00014552,             0.00014552,             0.00014552
                     35,                0.48158,                 0.4215,                0.80429,                0.96018,                0.94319,                0.99435,                0.88519,                 0.4544,                0.31582,                0.79915,             0.00014341,             0.00014341,             0.00014341
                     36,                 0.4674,                0.41117,                0.80366,                0.96387,                0.94754,                0.99436,                0.87438,                0.48912,                0.30567,                0.80263,              0.0001413,              0.0001413,              0.0001413
                     37,                0.45909,                0.38935,                0.80047,                0.95816,                0.97426,                  0.995,                0.86666,                0.50567,                0.31529,                0.80158,              0.0001392,              0.0001392,              0.0001392
                     38,                0.45037,                0.40487,                0.79283,                0.95784,                0.96464,                0.99424,                0.89608,                 0.4249,                 0.2905,                0.79535,             0.00013709,             0.00013709,             0.00013709
                     39,                0.44912,                0.38211,                0.79162,                0.90676,                0.99741,                0.99484,                0.89323,                0.45613,                0.28741,                0.79762,             0.00013498,             0.00013498,             0.00013498
